Log,# Flights,# Auto Flights,Flight Time (s),Auto Flight Time (s),Manual Flight Time (s),Vertical Flight Time (s),Horizontal Flight Time (s),Waypoints Attempted,Waypoints Hit,Average Waypoint Deviance (m)
00000024,2,1,324.17,10.36,313.81,117.27,206.9,11,11,29.0
TOTAL,2,1,324,10,313,117,206,11,11,29

Log,#,Type,Latitude,Longitude,Altitude (m),Deviance (m)
00000024,1,WP,,,,N/A
00000024,2,WP,,,,N/A
00000024,3,WP,,,,N/A
00000024,4,WP,,,,N/A
00000024,5,WP,,,,N/A
00000024,6,WP,,,,N/A
00000024,7,WP,42.653337,-76.7969847,324.1000061035156,N/A
00000024,8,WP,,,,9
00000024,9,WP,,,,26
00000024,10,WP,,,,52
00000024,11,WP,,,,N/A
