log,flights,auto_flights,flight_time,manual_time,auto_time,vertical_flight_time,horizontal_flight_time,wp_attempted,wp_successful,average_wp_deviance
00000084,3,1,650.93,206.24,444.69,505.19,145.75,14,14,17.0
00000085,1,0,117.59,0.0,117.59,117.59,0.0,0,0,N/A
00000074,2,3,432.36,78.53,353.83,219.58,212.78,18,18,23.72
TOTAL,6,4,1200,284,916,842,358,32,32,20.4

log,wp_number,type,lat,lng,alt,deviance
00000084,#,Type,Latitude,Longitude,Altitude,Deviance (m)
00000084,1,WP,42.6536379,-76.7969224,60.0,3
00000084,2,WP,42.6554583,-76.7969606,60.0,24
00000084,3,WP,42.6558711,-76.7979303,60.0,30
00000084,4,WP,42.6553644,-76.7987852,60.0,31
00000084,5,WP,42.6523429,-76.7986448,60.0,2
00000084,6,WP,42.6502972,-76.7984789,60.0,27
00000084,7,WP,42.6498468,-76.7971265,60.0,26
00000084,8,WP,42.6502972,-76.7962844,60.0,31
00000084,9,WP,42.6510479,-76.7965906,60.0,25
00000084,10,LoitTime,42.6536003,-76.7972031,60.0,N/A
00000084,11,VTOLTransition,0.0,0.0,0.0,N/A
00000084,12,LoitTime,42.6541399,-76.7972031,60.0,N/A
00000084,13,VTOLTransition,0.0,0.0,0.0,N/A
00000084,14,WP,42.6552429,-76.7972016,60.0,39
00000074,#,Type,Latitude,Longitude,Altitude,Deviance (m)
00000074,1,WP,42.6543552,-76.7967724,40.0,27
00000074,2,WP,42.6546984,-76.7973196,40.0,28
00000074,3,WP,42.654442,-76.7980277,40.0,25
00000074,4,WP,42.6537279,-76.7980813,40.0,15
00000074,5,WP,42.653069,-76.7981135,40.0,12
00000074,6,WP,42.6524062,-76.7975986,40.0,32
00000074,7,WP,42.6525522,-76.7969655,40.0,30
00000074,8,WP,42.6531953,-76.7969334,40.0,36
00000074,9,LoitTime,42.6531953,-76.7969334,40.0,N/A
00000074,10,WP,42.6538739,-76.7970031,40.0,N/A
00000074,11,WP,42.6540751,-76.7966705,40.0,N/A
00000074,12,WP,42.6540751,-76.7966705,40.0,17
00000074,13,WP,42.6544775,-76.7970997,40.0,36
00000074,14,WP,42.6543986,-76.7976307,40.0,60
00000074,15,WP,42.6540988,-76.7979097,40.0,43
00000074,16,WP,42.6536806,-76.7979043,40.0,29
00000074,17,WP,42.6532584,-76.7978829,40.0,37
00000074,18,LoitTime,42.6532584,-76.7978829,40.0,N/A
